siteId,descriptionOfSite,civicAddress,legalDescription,ownerName,ownerAddress,bylawNumber,datePassed,latitude,longitude,siteType,designatedOrListed,hasPage,keywords
clergue-block-house,Clergue Block House,831 Queen Street East,PLAN 625 LOT 5PT LOT 13 PLAN 958 LOT 26 LOT 39 TO 47 LOT 25PT PTN CLOSED LANES,,,80-113,1980-03-31,46.506046,-84.324302,Property,Designated,TRUE,ermatinger
old-stone-house,The Old Stone House,831 Queen Street East,PLAN 625 LOT 5PT LOT 13 PLAN 958 LOT 26 LOT 39 TO 47 LOT 25PT PTN CLOSED LANES,,,80-112,1980-03-31,46.506047,-84.324538,Property,Designated,TRUE,ermatinger clergue
precious-blood-cathedral,Precious Blood Cathedral,778 Queen Street East,ST MARY'S CON 1 PT LOTS 25 AND 26,,,81-18,1981-01-26,46.507436,-84.32575,Property,Designated,TRUE,church
bishop-fauquier-memorial-chapel-cemetery,Bishop Fauquier Memorial Chapel & Cemetery,1540 Queen Street East,CON 1 PARK LOT 1PT LOT 2PT RP 1R9429 PT 8 TO PT 20 RP 1R1222 PT 4,,,81-19 81-20,1981-01-26,46.499883,-84.287255,Property,Designated,TRUE,
coronation-hussey-block,Coronation and Hussey Block,234 - 246 Queen St E,,,,83-60,1983-02-28,46.514518,-84.336644,Property,Designated,TRUE,
algonquin-hotel,Algonquin Hotel,864 Queen St E,PLAN 301 PT LOT 1 PLAN 605 LOTS A TO C PT LOT D CJ BRAMPTONS PRIVATE PLAN PT LOT E AND RP 1R13472 PART 1,,,83-60,1983-02-28,46.506336,-84.323058,Property,Designated,TRUE,
wellington-square-townhouses,Wellington Square Townhouses,780 Wellington St E,PLAN 2020 LOT 62PT LOT 63PT RP 1R5657 PART 2,,,83-60,1983-02-28,46.509534,-84.320679,Property,Designated,TRUE,
general-office-building,General Office Building,75 Huron Street,PT HUDSON'S BAY COMPANY'S LANDS PT LAIRD AND HENDERSON MILL SITE PART LAND AND LAND COVERED WITH WATER AT THE FOOT OF THE RAPIDS ON THE,,,83-60,1983-02-28,46.5154884,-84.348692,Property,Designated,TRUE,
upton,Upton,10 Kensington Terrace,,,,83-266,1983-10-24,46.506169,-84.311943,Property,Designated,TRUE,
old-post-office,Old Post Office,690 Queen St East,PLAN 633 LOT 3 TO 5 LOT 15 LOT 2 PT LOT 6 PT,,,83-266,1983-10-24,46.507963,-84.32789,Property,Designated,TRUE,
